TimesheetId,EmployeeId,EmployeeName,Grade,Discipline,LineManager,DeliveryUnit,WorkDate,ProjectCode,ProjectName,Hours
TS00016,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-21,PRJ01,Banking App,8.0
TS00017,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-22,PRJ02,Payments Platform,8.0
TS00018,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-24,PRJ01,Banking App,8.0
TS00019,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-25,PRJ01,Banking App,8.0
TS00020,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-26,PRJ04,CRM Modernization,4.0
TS00021,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-27,PRJ01,Banking App,6.0
TS00022,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-28,PRJ04,CRM Modernization,4.0
TS00023,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-29,PRJ03,Data Lake,6.0
TS00024,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-30,PRJ04,CRM Modernization,8.0
TS00025,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-02,PRJ03,Data Lake,7.5
TS00026,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-03,PRJ03,Data Lake,7.5
TS00027,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-05,PRJ02,Payments Platform,8.0
TS00028,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-06,PRJ04,CRM Modernization,7.5
TS00029,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-08,PRJ03,Data Lake,8.0
TS00030,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-09,PRJ02,Payments Platform,0.0
TS00031,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-10,PRJ04,CRM Modernization,7.5
TS00032,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-11,PRJ03,Data Lake,8.0
TS00033,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-12,PRJ01,Banking App,8.0
TS00034,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-13,PRJ03,Data Lake,8.0
TS00035,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-14,PRJ02,Payments Platform,4.0
TS00036,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-15,PRJ04,crm modernization,7.5
TS00037,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-16,PRJ01,Banking App,8.0
TS00038,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-17,PRJ01,Banking App,8.0
TS00039,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-18,PRJ04,CRM Modernization,6.0
TS00040,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-20,PRJ04,CRM Modernization,4.0
TS00041,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-22,PRJ03,Data Lake,8.0
TS00042,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-23,PRJ04,CRM Modernization,4.0
TS00043,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-24,PRJ02,Payments Platform,4.0
TS00044,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-25,PRJ01,Banking App,0.0
TS00045,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-26,PRJ03,Data Lake,7.5
TS00046,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-07-30,PRJ04,CRM Modernization,4.0
TS00047,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-01,PRJ01,Banking App,6.0
TS00048,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-04,PRJ01,Banking App,7.5
TS00049,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-05,PRJ04,CRM Modernization,8.0
TS00050,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-06,PRJ01,Banking App,8.0
TS00051,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-07,PRJ01,Banking App,0.0
TS00052,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-08,PRJ01,Banking App,8.0
TS00053,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-09,PRJ04,CRM Modernization,6.0
TS00054,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-10,PRJ04,CRM Modernization,8.0
TS00055,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-11,PRJ01,Banking App,8.0
TS00056,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-12,PRJ02,Payments Platform,8.0
TS00057,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-13,PRJ04,CRM Modernization,6.0
TS00058,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-16,PRJ04,CRM Modernization,8.0
TS00059,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-17,PRJ04,CRM Modernization,8.0
TS00060,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-18,PRJ04,CRM Modernization,8.0
TS00061,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-19,PRJ-04,CRM Modernization,0.0
TS00062,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-23,PRJ01,Banking App,8.0
TS00063,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-24,PRJ-04,CRM Modernization,8.0
TS00064,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-26,PRJ04,CRM Modernization,0.0
TS00065,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-28,PRJ04,CRM Modernization,4.0
TS00066,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-29,PRJ02,Payments Platform,4.0
TS00067,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-06-30,PRJ02,Payments Platform,0.0
TS00068,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-01,PRJ04,CRM Modernization,0.0
TS00069,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-02,PRJ04,CRM Modernization,8.0
TS00070,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-03,PRJ04,crm modernization,8.0
TS00071,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-04,PRJ04,CRM Modernization,7.5
TS00072,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-05,PRJ03,Data Lake,8.0
TS00073,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-06,PRJ03,Data Lake,4.0
TS00074,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-07,PRJ01,Banking App,8.0
TS00075,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-08,PRJ03,Data Lake,0.0
TS00076,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-11,PRJ01,Banking App,4.0
TS00077,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-13,PRJ04,CRM Modernization,8.0
TS00078,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-16,PRJ04,CRM Modernization,0.0
TS00079,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-18,PRJ02,Payments Platform,0.0
TS00080,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-19,PRJ-04,CRM Modernization,4.0
TS00081,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-20,PRJ04,CRM Modernization,8.0
TS00082,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-23,PRJ03,Data Lake,0.0
TS00083,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-25,PRJ01,Banking App,7.5
TS00084,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-26,PRJ02,Payments Platform,4.0
TS00085,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-27,PRJ02,Payments Platform,6.0
TS00086,E002,Employee 2,Mid,Data,Alice Popescu,DU Banking,2026-07-29,PRJ03,Data Lake,8.0
TS00087,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-01,PRJ03,Data Lake,0.0
TS00088,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-02,PRJ02,Payments Platform,0.0
TS00089,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-05,PRJ02,Payments Platform,0.0
TS00090,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-07,PRJ02,Payments Platform,8.0
TS00091,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-08,PRJ01,Banking App,8.0
TS00092,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-09,PRJ04,CRM Modernization,0.0
TS00093,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-10,PRJ04,CRM Modernization,0.0
TS00094,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-12,PRJ01,Banking App,4.0
TS00095,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-14,PRJ01,Banking App,6.0
TS00096,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-15,PRJ03,Data Lake,6.0
TS00097,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-16,PRJ01,Banking App,4.0
TS00098,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-17,PRJ02,Payments Platform,4.0
TS00099,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-18,PRJ03,Data Lake,8.0
TS00100,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-19,PRJ04,CRM Modernization,6.0
TS00101,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-21,PRJ01,Banking App,7.5
TS00102,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-24,PRJ03,Data Lake,7.5
TS00103,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-25,PRJ03,Data Lake,7.5
TS00104,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-28,PRJ01,Banking App,8.0
TS00105,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-06-30,PRJ03,Data Lake,4.0
TS00106,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-01,PRJ01,Banking App,7.5
TS00107,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-02,PRJ03,Data Lake,8.0
TS00108,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-04,PRJ01,Banking App,7.5
TS00109,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-05,PRJ01,Banking App,6.0
TS00110,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-07,PRJ04,CRM Modernization,8.0
TS00111,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-09,PRJ-01,Banking App,7.5
TS00112,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-10,PRJ03,Data Lake,8.0
TS00113,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-11,PRJ03,Data Lake,7.5
TS00114,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-12,PRJ03,Data Lake,4.0
TS00115,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-13,PRJ01,Banking App,7.5
TS00116,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-15,PRJ02,Payments Platform,8.0
TS00117,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-16,PRJ02,Payments Platform,6.0
TS00118,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-21,PRJ04,CRM Modernization,4.0
TS00119,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-22,PRJ03,Data Lake,8.0
TS00120,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-23,PRJ03,Data Lake,7.5
TS00121,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-24,PRJ03,Data Lake,6.0
TS00122,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-25,PRJ01,Banking App,8.0
TS00123,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-26,PRJ01,Banking App,4.0
TS00124,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-27,PRJ01,Banking App,6.0
TS00125,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-28,PRJ03,Data Lake,8.0
TS00126,E003,Employee 3,Senior,Data,Laura Stan,DU Insurance,2026-07-29,PRJ01,Banking App,8.0
TS00127,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-06-03,PRJ02,Payments Platform,4.0
TS00128,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-06-04,PRJ01,Banking App,0.0
TS00129,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-06-09,PRJ04,crm modernization,8.0
TS00130,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-06-11,PRJ02,Payments Platform,6.0
TS00131,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-06-14,PRJ03,Data Lake,8.0
TS00132,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-06-18,PRJ-04,CRM Modernization,7.5
TS00133,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-06-22,PRJ02,Payments Platform,0.0
TS00134,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-06-24,PRJ04,CRM Modernization,6.0
TS00135,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-06-25,PRJ02,Payments Platform,4.0
TS00136,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-06-26,PRJ01,Banking App,8.0
TS00137,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-06-27,PRJ02,Payments Platform,0.0
TS00138,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-06-28,PRJ01,Banking App,7.5
TS00139,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-06-29,PRJ01,Banking App,8.0
TS00140,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-06-30,PRJ03,Data Lake,0.0
TS00141,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-01,PRJ01,banking app,8.0
TS00142,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-03,PRJ01,Banking App,8.0
TS00143,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-05,PRJ01,Banking App,4.0
TS00144,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-06,PRJ02,payments platform,6.0
TS00145,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-08,PRJ03,Data Lake,6.0
TS00146,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-09,PRJ-04,CRM Modernization,4.0
TS00147,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-11,PRJ01,Banking App,8.0
TS00148,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-12,PRJ02,Payments Platform,7.5
TS00149,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-14,PRJ-04,CRM Modernization,8.0
TS00150,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-15,PRJ04,CRM Modernization,0.0
TS00151,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-16,PRJ01,Banking App,8.0
TS00152,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-17,PRJ04,CRM Modernization,7.5
TS00153,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-18,PRJ03,Data Lake,6.0
TS00154,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-19,PRJ03,Data Lake,8.0
TS00155,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-21,PRJ04,CRM Modernization,8.0
TS00156,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-22,PRJ01,Banking App,0.0
TS00157,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-23,PRJ01,Banking App,8.0
TS00158,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-24,PRJ03,Data Lake,8.0
TS00159,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-26,PRJ01,Banking App,4.0
TS00160,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-28,PRJ02,Payments Platform,8.0
TS00161,E004,Employee 4,Senior,Data,Laura Stan,DU Payments,2026-07-30,PRJ03,Data Lake,8.0
TS00162,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-01,PRJ04,CRM Modernization,8.0
TS00163,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-03,PRJ03,Data Lake,4.0
TS00164,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-05,PRJ01,Banking App,7.5
TS00165,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-06,PRJ03,Data Lake,8.0
TS00166,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-07,PRJ04,CRM Modernization,8.0
TS00167,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-08,PRJ01,Banking App,0.0
TS00168,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-09,PRJ02,Payments Platform,0.0
TS00169,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-10,PRJ02,Payments Platform,8.0
TS00170,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-14,PRJ03,Data Lake,6.0
TS00171,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-15,PRJ02,Payments Platform,8.0
TS00172,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-16,PRJ01,Banking App,8.0
TS00173,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-18,PRJ01,Banking App,8.0
TS00174,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-21,PRJ01,Banking App,7.5
TS00175,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-22,PRJ03,Data Lake,8.0
TS00176,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-23,PRJ03,Data Lake,8.0
TS00177,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-24,PRJ01,Banking App,7.5
TS00178,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-26,PRJ03,Data Lake,8.0
TS00179,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-27,PRJ04,CRM Modernization,7.5
TS00180,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-29,PRJ-03,Data Lake,0.0
TS00181,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-06-30,PRJ01,Banking App,4.0
TS00182,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-01,PRJ01,Banking App,6.0
TS00183,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-02,PRJ04,CRM Modernization,4.0
TS00184,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-03,PRJ01,Banking App,8.0
TS00185,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-04,PRJ04,CRM Modernization,8.0
TS00186,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-06,PRJ02,Payments Platform,6.0
TS00187,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-07,PRJ03,Data Lake,7.5
TS00188,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-08,PRJ01,Banking App,6.0
TS00189,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-11,PRJ04,CRM Modernization,6.0
TS00190,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-13,PRJ02,Payments Platform,7.5
TS00191,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-15,PRJ01,Banking App,7.5
TS00192,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-16,PRJ04,CRM Modernization,8.0
TS00193,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-17,PRJ04,CRM Modernization,6.0
TS00194,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-18,PRJ03,Data Lake,6.0
TS00195,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-24,PRJ04,CRM Modernization,8.0
TS00196,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-25,PRJ04,CRM Modernization,0.0
TS00197,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-26,PRJ03,Data Lake,4.0
TS00198,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-27,PRJ02,Payments Platform,8.0
TS00199,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-28,PRJ02,Payments Platform,4.0
TS00200,E005,Employee 5,Junior,Data,Alice Popescu,DU Banking,2026-07-29,PRJ03,Data Lake,8.0
TS00201,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-01,PRJ04,CRM Modernization,8.0
TS00202,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-02,PRJ01,Banking App,0.0
TS00203,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-04,PRJ02,Payments Platform,0.0
TS00204,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-09,PRJ01,Banking App,4.0
TS00205,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-10,PRJ02,Payments Platform,8.0
TS00206,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-12,PRJ-02,Payments Platform,4.0
TS00207,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-13,PRJ04,CRM Modernization,4.0
TS00208,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-15,PRJ-02,Payments Platform,8.0
TS00209,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-16,PRJ01,Banking App,4.0
TS00210,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-17,PRJ04,CRM Modernization,0.0
TS00211,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-18,PRJ03,Data Lake,7.5
TS00212,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-20,PRJ04,CRM Modernization,0.0
TS00213,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-21,PRJ02,Payments Platform,6.0
TS00214,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-23,PRJ01,Banking App,6.0
TS00215,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-24,PRJ04,CRM Modernization,8.0
TS00216,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-25,PRJ01,Banking App,8.0
TS00217,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-27,PRJ01,Banking App,6.0
TS00218,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-28,PRJ01,Banking App,7.5
TS00219,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-06-29,PRJ02,Payments Platform,7.5
TS00220,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-01,PRJ04,CRM Modernization,6.0
TS00221,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-03,PRJ04,CRM Modernization,8.0
TS00222,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-05,PRJ04,CRM Modernization,8.0
TS00223,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-06,PRJ-01,Banking App,8.0
TS00224,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-07,PRJ01,Banking App,8.0
TS00225,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-10,PRJ02,Payments Platform,8.0
TS00226,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-11,PRJ03,Data Lake,8.0
TS00227,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-12,PRJ02,Payments Platform,6.0
TS00228,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-14,PRJ04,CRM Modernization,4.0
TS00229,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-16,PRJ04,CRM Modernization,6.0
TS00230,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-18,PRJ02,Payments Platform,7.5
TS00231,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-19,PRJ02,Payments Platform,7.5
TS00232,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-20,PRJ02,Payments Platform,8.0
TS00233,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-21,PRJ02,Payments Platform,8.0
TS00234,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-22,PRJ01,Banking App,4.0
TS00235,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-23,PRJ02,Payments Platform,6.0
TS00236,E006,Employee 6,Junior,Cloud,Laura Stan,DU Banking,2026-07-24,PRJ03,Data Lake,4.0
